name,url,status,size,sha256,error
perlbrew,https://install.perlbrew.pl,ok,1689,8f254651d2eee188199b3355228eb67166974716081b794ca93b69c8f949c38d,
pixi,https://pixi.sh/install.sh,ok,9170,a492263ee4d493c1b940f3799a228140dc05785d4d25cce23750cdccd5a7a2d2,
porter,https://cdn.porter.sh/latest/install-linux.sh,ok,1276,e7edfc5c20cc8322ac6ed48b4682ea2ea2c1601a3554f8181d7b26cf7784bd95,
railway,https://railway.app/install.sh,ok,33612,f831128dac4d81a1f2e659abcc30512fe9c94cd4811751ce5690de9cfbec81cb,
rke2,https://get.rke2.io,ok,26731,42983c86d1da64a92061d83afb57630cedd69241989f1b0673f3db6c3d92ee6b,
rvm,https://get.rvm.io,ok,24535,fea24461e98d41528d6e28684aa4c216dbe903869bc3fcdb3493b6518fae2e7e,
rye,https://rye.astral.sh/get,ok,2377,7bee0da65f75421d6a45800e1e8cf1b38fa7f5623ebb85693c4451397ffefc9d,
scaleway-cli,https://raw.githubusercontent.com/scaleway/scaleway-cli/master/scripts/get.sh,ok,2563,f12e766c3f2a042f5998692e7a75cc09da2cecf40995885af1343ef21d632cd5,
starkup,https://sh.starkup.sh,ok,19809,f315dfc6623c428064303fada460e611e207cf29d62611cf9054f54c1236ce81,
semaphore-cli,https://raw.githubusercontent.com/semaphoreci/toolbox/master/install-toolbox,ok,4413,2d98021758c4757b214cb43333659c22a330f82dbcc9b27d48fa41d2c8d504dc,
serverless-framework,https://slss.io/install,ok,4048,425e1845fbcf30457fe7738197d37905681d2ab214df463df5d9ada2d2f70894,
dojoup,https://install.dojoengine.org,ok,1384,9c06632f07193b831e099d87f8d488372bc3d826c01d4711c20d680a34d0ac8a,
speedtest-cli,https://packagecloud.io/install/repositories/ookla/speedtest-cli/script.deb.sh,ok,7210,fd9152c6389aab7f785ccd279e60ee9de708d3b949da424dc40562346b61ce4f,
spin,https://developer.fermyon.com/downloads/install.sh,ok,5315,eea999cf88f5dcb7d4e9ecd0050eb5419c5dd8ebffddba7a4656340f6a95060b,
starkli,https://get.starkli.sh,ok,4571,78bbdc1c94ebee99b752b7465c5eb723eec15849bb1210f794dd0e8d04c59b64,
surrealdb,https://install.surrealdb.com,ok,7985,f608efc915dbe75b9b81d90b5697a47cd9c4c43cac964a3b44192c637c02a1fb,
syft,https://raw.githubusercontent.com/anchore/syft/main/install.sh,ok,23519,ea054f8b6754db17d34129482ecda1ab733cadab57c1c9202bbe98eb5fe18d24,
task,https://taskfile.dev/install.sh,ok,9406,e360c4d49273347e8ceb740f98d81d0b8b753de7d1b3c3452bdae7ec54289b99,
teleport,https://goteleport.com/static/install.sh,ok,3318,0940cfbea1cd71111759e9e09b51f4f58b0a6ec3db3300c5955ef6380d42eac3,
temporal,https://temporal.download/cli.sh,ok,15981,a0006e3252e4750a52ca59610783c943f07f5644e7282a2595f770fdf6664b5a,
tfsec,https://raw.githubusercontent.com/aquasecurity/tfsec/master/scripts/install_linux.sh,ok,4049,c6621a5be84cdecc292cee9745470519dbc1cf38637525f4dc3310ea9101ec90,
tilt,https://raw.githubusercontent.com/tilt-dev/tilt/master/scripts/install.sh,ok,4430,5d7cf7830ff1bb99860c48eb3fc03ee2e09acbab9fbcf4169f263ec0c76de1e8,
trivy,https://raw.githubusercontent.com/aquasecurity/trivy/main/contrib/install.sh,ok,9945,e00df553be558995b994758bc8995956554a16937f456dc6615b0cc411bfec7a,
turso,https://get.tur.so/install.sh,ok,8091,87e74f65584735d0dd548016b73cfc4621ddae29ea2b6cf54a962e8cdaa61931,
vector,https://sh.vector.dev,ok,25079,6956a1284dc53fefd03fba59eaf678e88835e997390cde91b50b53536dc9b52d,
wasmer,https://get.wasmer.io,ok,14064,aafb465f986b6eab664b60caa2af549ec90064f6f7df8fc05af9c28ccf9352b0,
wasm-pack,https://rustwasm.github.io/wasm-pack/installer/init.sh,ok,5333,7969444a2635a28157a31fae9736701f658a5ab346eb0c99bea18313c0d84018,
wasmtime,https://wasmtime.dev/install.sh,ok,15938,8e04e645e4b05a8156f3cabd31fde8e13983ae52bc0810bd2815443b328cc43a,
webi,https://webi.sh/webi,ok,9749,9de2011b58c9d2ac618e793b3c645ffeb2c958d34f78e66497e04d305cfce888,
xh,https://raw.githubusercontent.com/ducaale/xh/master/install.sh,ok,2398,dc47b7fc1e5997b81424f762ebe6aeda81be835c53f099e429ccb89cbca29842,
yarn,https://yarnpkg.com/install.sh,ok,7152,19f48dbd5049613c1a285ec9d92d716879965456cd7ff60169e14503b588f40e,
yunohost,https://install.yunohost.org,ok,25965,3ef0c3d82e491d5c5076d6fb0b289c6f8ba7fccc9ec940c5bc96a48afa6ec344,
argo-cd,https://raw.githubusercontent.com/argoproj/argo-cd/master/hack/install.sh,ok,776,b9bf156c29e0cd5028083b9f0e6a6c57c4a37c6ab72ed8f3d87295c032bf87a9,
babashka,https://raw.githubusercontent.com/babashka/babashka/master/install,ok,5758,04952b6ead3cd23ae297d44d8ab7b6162708a35d00c07971b6a72448a500fdeb,
chef,https://omnitruck.chef.io/install.sh,ok,23738,9511909878c201452331e546b1c1ece0f1fbd5ed199655358c6338dab8391114,
clj-kondo,https://raw.githubusercontent.com/clj-kondo/clj-kondo/master/script/install-clj-kondo,ok,2678,d9cf19708152a1e1ea31774e4aa4b6cbf275fb01c5a5b1e758f92c8553710860,
fluent-bit,https://raw.githubusercontent.com/fluent/fluent-bit/master/install.sh,ok,4970,ccd7b1c956253d29ba8e8cea1ef0321c2bd1abd820d0b7006cd0aa717dc134c6,
hysteria,https://get.hy2.sh,ok,27285,2cc5d1c62f132f30c07e75d972144aa5d61ef59f547a04a537e2d9ac505b4344,
leiningen,https://raw.githubusercontent.com/technomancy/leiningen/stable/bin/lein,ok,14093,f8e1266c0c78c08bd4af6e111889ecc316c9dd56d1e8645bbee6c1703d351bc3,
